model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=241,
                    random_state=42)",0.6847619047619048,0.4911111111111111,0.47333333333333333,0.014277775571966618,0.19365079365079368,"{'n_estimators': 241, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",57.87966804979253,5.0,29.439834024896264,13949,7095,5,241
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=271,
                    random_state=42)",0.6902380952380952,0.5016666666666667,0.4692857142857143,0.011428571428571429,0.1885714285714285,"{'n_estimators': 271, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",57.981549815498155,5.0,29.490774907749078,15713,7992,5,271
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=301,
                    random_state=42)",0.6919047619047619,0.49944444444444447,0.46976190476190477,0.012013786487183676,0.19246031746031744,"{'n_estimators': 301, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",57.903654485049834,5.0,29.451827242524917,17429,8865,5,301
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=331,
                    random_state=42)",0.6954761904761905,0.49333333333333335,0.47595238095238096,0.012984379242319979,0.20214285714285712,"{'n_estimators': 331, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",57.88821752265861,5.0,29.444108761329304,19161,9746,5,331
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=1,
                    random_state=42)",0.3854761904761905,0.3111111111111111,0.3028571428571428,0.017408653724219927,0.07436507936507936,"{'n_estimators': 1, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",201.0,7.0,101.0,201,101,7,1
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=31,
                    random_state=42)",0.7702380952380953,0.4711111111111111,0.44238095238095243,0.013439205515876263,0.2991269841269842,"{'n_estimators': 31, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",182.67741935483872,7.0,91.83870967741936,5663,2847,7,31
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=61,
                    random_state=42)",0.8185714285714286,0.5027777777777778,0.4788095238095238,0.015103572883003529,0.31579365079365085,"{'n_estimators': 61, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",184.04918032786884,7.0,92.52459016393442,11227,5644,7,61
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=91,
                    random_state=42)",0.8323809523809523,0.5177777777777778,0.49523809523809526,0.017991557606964352,0.31460317460317455,"{'n_estimators': 91, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",182.27472527472528,7.0,91.63736263736264,16587,8339,7,91
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=121,
                    random_state=42)",0.8459523809523809,0.5277777777777778,0.49738095238095237,0.015746719775034727,0.3181746031746031,"{'n_estimators': 121, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",183.0,7.0,92.0,22143,11132,7,121
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=151,
                    random_state=42)",0.8469047619047619,0.5283333333333333,0.5007142857142857,0.009891703846590955,0.3185714285714286,"{'n_estimators': 151, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",182.58940397350995,7.0,91.79470198675497,27571,13861,7,151
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=181,
                    random_state=42)",0.8476190476190476,0.5311111111111111,0.49714285714285716,0.008336734000005506,0.3165079365079365,"{'n_estimators': 181, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",182.67955801104972,7.0,91.83977900552486,33065,16623,7,181
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=211,
                    random_state=42)",0.8502380952380952,0.5305555555555556,0.4988095238095238,0.012953781436890906,0.3196825396825397,"{'n_estimators': 211, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",182.38388625592418,7.0,91.69194312796209,38483,19347,7,211
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=241,
                    random_state=42)",0.8552380952380952,0.5333333333333333,0.4992857142857143,0.014138126513622408,0.3219047619047619,"{'n_estimators': 241, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",182.551867219917,7.0,91.7759336099585,43995,22118,7,241
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=271,
                    random_state=42)",0.8542857142857143,0.5366666666666666,0.4990476190476191,0.016690459207925615,0.3176190476190477,"{'n_estimators': 271, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",181.57564575645756,7.0,91.28782287822878,49207,24739,7,271
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=301,
                    random_state=42)",0.8545238095238096,0.5322222222222223,0.4990476190476191,0.02076212319675396,0.3223015873015873,"{'n_estimators': 301, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",181.43853820598008,7.0,91.21926910299004,54613,27457,7,301
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=331,
                    random_state=42)",0.8585714285714285,0.5327777777777778,0.5064285714285715,0.013075743064520001,0.32579365079365075,"{'n_estimators': 331, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",180.74622356495468,7.0,90.87311178247734,59827,30079,7,331
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=1,
                    random_state=42)",0.4895238095238095,0.31222222222222223,0.2957142857142857,0.01381362828986694,0.1773015873015873,"{'n_estimators': 1, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",727.0,10.0,364.0,727,364,10,1
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=31,
                    random_state=42)",0.9519047619047619,0.4816666666666667,0.4404761904761905,0.012598815766974235,0.47023809523809523,"{'n_estimators': 31, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",651.6451612903226,10.0,326.3225806451613,20201,10116,10,31
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=61,
                    random_state=42)",0.9747619047619047,0.5194444444444445,0.4873809523809524,0.01742492806050667,0.45531746031746023,"{'n_estimators': 61, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",642.5737704918033,10.0,321.78688524590166,39197,19629,10,61
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=91,
                    random_state=42)",0.9804761904761905,0.5383333333333333,0.5004761904761905,0.016385381461033577,0.44214285714285717,"{'n_estimators': 91, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",635.8351648351648,10.0,318.4175824175824,57861,28976,10,91
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=121,
                    random_state=42)",0.9847619047619047,0.555,0.514047619047619,0.013830034029959627,0.4297619047619047,"{'n_estimators': 121, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",640.3223140495868,10.0,320.6611570247934,77479,38800,10,121
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=151,
                    random_state=42)",0.9880952380952381,0.5594444444444444,0.5207142857142857,0.022266678887120365,0.4286507936507937,"{'n_estimators': 151, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",634.2185430463576,10.0,317.6092715231788,95767,47959,10,151
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=181,
                    random_state=42)",0.9890476190476191,0.5566666666666666,0.5240476190476191,0.022742769402399148,0.4323809523809524,"{'n_estimators': 181, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",633.7955801104972,10.0,317.3977900552486,114717,57449,10,181
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=211,
                    random_state=42)",0.9880952380952381,0.5655555555555556,0.528095238095238,0.018421248698937808,0.42253968253968255,"{'n_estimators': 211, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",633.3127962085308,10.0,317.1563981042654,133629,66920,10,211
