model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=11,
                    random_state=42)",0.8342857142857143,0.605,0.5864285714285715,0.02685942239566168,0.22928571428571431,"{'n_estimators': 11, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",151.9090909090909,7.0,76.45454545454545,1671,841,7,11
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=21,
                    random_state=42)",0.865,0.6116666666666667,0.6214285714285714,0.016444092047459048,0.2533333333333333,"{'n_estimators': 21, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",154.52380952380952,7.0,77.76190476190476,3245,1633,7,21
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=31,
                    random_state=42)",0.8728571428571429,0.645,0.6285714285714286,0.020824828195876076,0.22785714285714287,"{'n_estimators': 31, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",152.3548387096774,7.0,76.6774193548387,4723,2377,7,31
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=41,
                    random_state=42)",0.8807142857142857,0.6466666666666666,0.6378571428571428,0.022429026383010833,0.23404761904761906,"{'n_estimators': 41, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",155.1951219512195,7.0,78.09756097560975,6363,3202,7,41
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=51,
                    random_state=42)",0.8814285714285715,0.6433333333333333,0.6385714285714286,0.01470804305855285,0.23809523809523814,"{'n_estimators': 51, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",154.52941176470588,7.0,77.76470588235294,7881,3966,7,51
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=61,
                    random_state=42)",0.8857142857142857,0.6416666666666667,0.6414285714285713,0.018708286933869722,0.24404761904761896,"{'n_estimators': 61, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",154.24590163934425,7.0,77.62295081967213,9409,4735,7,61
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=71,
                    random_state=42)",0.8842857142857142,0.645,0.6399999999999999,0.01711306935815847,0.2392857142857142,"{'n_estimators': 71, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",154.83098591549296,7.0,77.91549295774648,10993,5532,7,71
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=81,
                    random_state=42)",0.8871428571428571,0.6483333333333333,0.6499999999999999,0.019561519910898762,0.2388095238095238,"{'n_estimators': 81, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",154.1604938271605,7.0,77.58024691358025,12487,6284,7,81
"RandomForestOverfit(max_depth=7, max_features=2, n_estimators=91,
                    random_state=42)",0.8857142857142857,0.6483333333333333,0.6514285714285714,0.015746719775034702,0.23738095238095236,"{'n_estimators': 91, 'max_depth': 7, 'max_features': 2, 'bootstrap': True}",153.57142857142858,7.0,77.28571428571429,13975,7033,7,91
"RandomForestOverfit(max_depth=10, max_features=2, n_estimators=1,
                    random_state=42)",0.68,0.44333333333333336,0.4714285714285714,0.029709477632979164,0.2366666666666667,"{'n_estimators': 1, 'max_depth': 10, 'max_features': 2, 'bootstrap': True}",355.0,10.0,178.0,355,178,10,1
