model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=22,
                    random_state=42)",0.9685714285714285,0.9333333333333333,0.9228571428571428,0.0410077145554495,0.03523809523809518,"{'n_estimators': 22, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",23.272727272727273,4.0,12.136363636363637,512,267,4,22
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=25,
                    random_state=42)",0.9742857142857143,0.9466666666666667,0.9285714285714285,0.02710523708715757,0.027619047619047654,"{'n_estimators': 25, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",23.32,4.0,12.16,583,304,4,25
"RandomForestOverfit(max_depth=4, max_features=2, n_estimators=28,
                    random_state=42)",0.9742857142857143,0.9466666666666667,0.9228571428571428,0.03568570284799087,0.027619047619047654,"{'n_estimators': 28, 'max_depth': 4, 'max_features': 2, 'bootstrap': True}",23.071428571428573,4.0,12.035714285714286,646,337,4,28
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=1,
                    random_state=42)",0.8885714285714286,0.8533333333333334,0.7885714285714286,0.018952141659173725,0.03523809523809518,"{'n_estimators': 1, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",37.0,5.0,19.0,37,19,5,1
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=4,
                    random_state=42)",0.9514285714285714,0.9133333333333333,0.877142857142857,0.01937808566607219,0.03809523809523807,"{'n_estimators': 4, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",37.5,5.0,19.25,150,77,5,4
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=7,
                    random_state=42)",0.9771428571428571,0.94,0.9114285714285714,0.03768830273792263,0.037142857142857144,"{'n_estimators': 7, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",37.0,5.0,19.0,259,133,5,7
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=10,
                    random_state=42)",0.9857142857142858,0.9266666666666666,0.9114285714285714,0.036589281356759165,0.059047619047619126,"{'n_estimators': 10, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",35.8,5.0,18.4,358,184,5,10
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=13,
                    random_state=42)",0.9857142857142858,0.9266666666666666,0.9199999999999999,0.044812534689594646,0.059047619047619126,"{'n_estimators': 13, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",34.84615384615385,5.0,17.923076923076923,453,233,5,13
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=16,
                    random_state=42)",0.98,0.9333333333333333,0.9314285714285713,0.03979539507766893,0.046666666666666634,"{'n_estimators': 16, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",35.125,5.0,18.0625,562,289,5,16
"RandomForestOverfit(max_depth=5, max_features=2, n_estimators=19,
                    random_state=42)",0.9857142857142858,0.9533333333333334,0.9371428571428572,0.03207134902949095,0.0323809523809524,"{'n_estimators': 19, 'max_depth': 5, 'max_features': 2, 'bootstrap': True}",34.78947368421053,5.0,17.894736842105264,661,340,5,19
